Roll,Pitch,Yaw,Heading,Roll Setpoint,Pitch Setpoint
-14.854171,-0.4278746,-0.9031191,0.8868809,10,0
-14.849829,-0.42527515,-0.920069,0.869931,10,0
-15.661094,-0.5162011,20.569921,22.35992,10,0
-16.193851,-0.49231896,19.400494,21.190495,10,0
-16.826696,-0.5610897,18.642763,20.432762,10,0
-16.979963,-0.580457,18.485865,20.275864,10,0
-17.251741,-0.52430093,17.776516,19.566517,10,0
-17.529974,-0.4450809,41.099613,42.889614,10,0
-17.697626,-0.45930463,40.657448,42.44745,10,0
-18.15974,-0.5079345,39.52019,41.310192,10,0
-18.55016,-0.5085551,38.471844,40.261845,10,0
-19.056332,-0.5224879,31.40058,33.19058,10,0
-19.361382,-0.5165606,30.753517,32.543518,10,0
-19.533728,-0.4824658,30.290575,32.080574,10,0
-19.756594,-0.48216486,29.856932,31.64693,10,0
-20.27366,-0.520817,29.02826,30.81826,10,0
-20.674728,-0.5592151,36.310898,38.1009,10,0
-20.582422,-0.5565195,36.517715,38.307716,10,0
-20.352133,-0.58329284,37.155415,38.945415,10,0
-20.442299,-0.5114844,36.69919,38.48919,10,0
-20.551165,-0.50108063,36.406567,38.196568,10,0
-20.7331,-0.5220625,37.33803,39.128033,10,0
-21.40399,-0.5106381,36.096233,37.886234,10,0
-21.43254,-0.5229981,36.078396,37.868397,10,0
-21.247667,-0.5492157,36.47275,38.262753,10,0
-20.966934,-0.5621879,37.01249,38.80249,10,0
-21.51451,-0.5877204,33.089607,34.87961,10,0
-22.174356,-0.5444603,31.66451,33.45451,10,0
-21.61727,-0.5138788,32.64274,34.43274,10,0
-21.558586,-0.5430626,32.855263,34.645264,10,0
-21.577131,-0.55525,32.857742,34.647743,10,0
-21.711477,-0.58531225,32.960316,34.750317,10,0
-21.926912,-0.57821697,32.56436,34.354362,10,0
-21.694653,-0.5642595,32.928986,34.718987,10,0
-21.043158,-0.51239383,33.96256,35.75256,10,0
-19.682121,-0.4345877,36.46694,38.256943,10,0
-18.76477,-0.4969809,26.32581,28.11581,10,0
-17.505135,-0.6393814,30.39366,32.18366,10,0
-17.046865,-0.6263313,31.755568,33.545567,10,0
-15.779849,-0.41082183,35.17243,36.96243,10,0
-14.18512,-0.33254313,42.424118,44.21412,10,0
-13.692591,-0.35632035,29.598873,31.388874,10,0
-13.098965,-0.44725716,33.685303,35.475304,10,0
-12.996429,-0.4552904,34.39378,36.18378,10,0
-12.037139,-0.39287513,40.886497,42.6765,10,0
-11.778463,-0.3509203,-45.088264,-43.298264,10,0
-11.710922,-0.4343508,-44.959053,-43.169052,10,0
-11.1231985,-0.39584392,-50.408676,-48.618675,10,0
-10.40562,-0.34618935,-58.264076,-56.474075,10,0
-9.641178,-0.1396958,-68.894165,-67.104164,10,0
-9.288776,-0.22343792,-84.88413,-83.09413,10,0
-8.011214,-0.3404946,-93.623,-91.833,10,0
-5.5328946,-0.11839851,-109.479904,-107.6899,10,0
-3.7346911,0.11445488,-118.82024,-117.030235,10,0
0.10246363,-0.06900427,-135.213,-133.423,10,0
2.0479143,-0.16765521,-131.50696,-129.71696,10,0
1.0393815,0.07154708,-128.5895,-126.79949,10,0
-0.28996024,-0.9497667,-127.18069,-125.390686,10,0
-1.3878986,-0.824618,-123.7002,-121.9102,10,0
-0.9879849,-0.39245248,-124.03722,-122.247215,10,0
-0.025778532,-0.21693544,-124.35717,-122.56717,10,0
0.49171257,-0.19281581,-125.440414,-123.65041,10,0
0.6326992,-0.22512656,-125.78933,-123.99933,10,0
0.75765496,-0.13603126,-125.91586,-124.12586,10,0
1.3263952,-0.13507672,-127.087746,-125.297745,10,0
1.4974445,-0.097411565,-115.2619,-113.4719,10,0
1.6219348,-0.036006372,-115.48484,-113.69484,10,0
2.437948,-0.10543143,-117.45097,-115.66097,10,0
3.1263757,-0.122554846,-119.012115,-117.222115,10,0
5.861654,0.048326902,-124.41673,-122.62673,10,0
10.010903,-0.15101317,-127.732735,-125.94273,10,0
10.806088,-0.25395066,-128.82591,-127.03591,10,0
10.484257,-0.20775473,-128.38174,-126.59174,10,0
11.791496,-0.13952005,-129.86133,-128.07133,10,0
12.577463,0.009556209,-130.58525,-128.79526,10,0
12.689241,0.0015360927,-123.636314,-121.84631,10,0
14.296093,-0.1027661,-125.505,-123.715,10,0
15.046274,-0.093621,-126.28906,-124.49906,10,0
15.215323,-0.04281641,-126.414085,-124.624084,10,0
15.833114,-0.10457232,-127.11009,-125.32009,10,0
16.844507,-0.10498457,-129.74998,-127.959984,10,0
17.41645,-0.12504168,-130.29805,-128.50806,10,0
17.715237,-0.12816516,-130.57248,-128.78249,10,0
17.85315,-0.123434216,-130.69173,-128.90173,10,0
17.787298,-0.113977015,-130.4213,-128.6313,10,0
18.243511,-0.08221187,-130.7557,-128.96571,10,0
19.06483,-0.047828093,-131.3649,-129.5749,10,0
19.618332,-0.14018953,-131.87735,-130.08736,10,0
19.943867,-0.117982544,-132.10059,-130.3106,10,0
19.859161,-0.059689566,-129.67049,-127.880486,10,0
20.17586,-0.14385346,-129.97194,-128.18195,10,0
20.462753,-0.22846377,-130.25114,-128.46115,10,0
21.085785,-0.2240179,-130.68074,-128.89075,10,0
21.471207,-0.16074148,-130.88669,-129.0967,10,0
21.738253,-0.18579261,-130.21753,-128.42754,10,0
22.202312,-0.20737942,-130.56303,-128.77304,10,0
22.57646,-0.20080577,-130.81577,-129.02577,10,0
22.75929,-0.18510032,-130.9264,-129.13641,10,0
22.56665,-0.20047584,-130.8087,-129.0187,10,0
22.52022,-0.19524309,-129.79172,-128.00172,10,0
22.981888,-0.20400615,-130.1005,-128.3105,10,0
23.106728,-0.17863649,-130.15846,-128.36847,10,0
23.057215,-0.19606823,-130.14209,-128.3521,10,0
22.730257,-0.20206493,-129.93527,-128.14528,10,0
21.970707,-0.29950288,-125.98314,-124.19314,10,0
21.668139,-0.26934066,-125.74259,-123.95259,10,0
21.679995,-0.12280727,-125.62724,-123.83724,10,0
22.10539,-0.14155036,-125.94393,-124.15393,10,0
22.06341,-0.21413937,-128.64296,-126.85296,10,0
22.420523,-0.24765311,-128.92952,-127.13952,10,0
22.191565,-0.23525634,-128.7544,-126.96439,10,0
22.028454,-0.22943906,-128.63167,-126.84167,10,0
22.078127,-0.20307924,-128.6435,-126.85349,10,0
22.004007,-0.20520747,-130.2538,-128.4638,10,0
22.324757,-0.25313032,-130.50664,-128.71664,10,0
22.909534,-0.21956138,-130.85391,-129.06392,10,0
22.753626,-0.22500233,-130.75891,-128.96892,10,0
22.967468,-0.19474375,-130.8686,-129.07861,10,0
23.39504,-0.18097046,-129.0965,-127.306496,10,0
23.608389,-0.27533093,-129.30655,-127.51655,10,0
23.25885,-0.3043533,-129.11841,-127.32841,10,0
23.791595,-0.1737131,-129.33026,-127.54026,10,0
23.991634,0.0064331107,-129.29633,-127.506325,10,0
24.271385,0.027898053,-127.87598,-126.085976,10,0
25.90086,-0.30797264,-129.03915,-127.24915,10,0
26.383484,-0.4786072,-129.43642,-127.646416,10,0
24.9644,-0.40285727,-128.61015,-126.82015,10,0
25.359787,-0.3443611,-128.77808,-126.988075,10,0
26.298363,-0.3595707,-127.60311,-125.81311,10,0
26.596243,-0.38522235,-127.78795,-125.99795,10,0
26.543423,-0.31310424,-127.69947,-125.90947,10,0
27.53168,-0.29367942,-128.2162,-126.4262,10,0
28.051704,-0.36663327,-128.55125,-126.76125,10,0
27.806206,-0.40164685,-126.396286,-124.606285,10,0
28.140032,-0.37371075,-126.56244,-124.77244,10,0
28.330368,-0.37689647,-126.67237,-124.88237,10,0
28.252304,-0.33087078,-126.589714,-124.79971,10,0
28.026531,-0.36586982,-126.49159,-124.70159,10,0
27.049143,-0.3697528,-127.75467,-125.96467,10,0
28.113354,-0.41661608,-128.3635,-126.573494,10,0
30.184872,-0.6082657,-129.58456,-127.79456,10,0
30.859472,-0.5589741,-129.8727,-128.0827,10,0
30.32054,-0.44951123,-129.51566,-127.725655,10,0
29.53695,-0.4295437,-128.13121,-126.34121,10,0
29.045424,-0.39865613,-127.86027,-126.07027,10,0
29.81925,-0.50865823,-128.33647,-126.54647,10,0
30.560766,-0.4911467,-128.6823,-126.892296,10,0
30.518867,-0.5801915,-128.73695,-126.94695,10,0
30.110586,-0.59304905,-129.30043,-127.51043,10,0
29.61407,-0.5996821,-129.03613,-127.24613,10,0
